l_train,d_train,l_test,d_test,N_SLM,N_test,SMSE SLM,N_FEM,SMSE FEM
8,6,14,6,160,1000,0.04283327521133781,10000,0.04218991117452963
8,6,14,6,230,1000,0.042402994401642934,10000,0.04218991117452963
8,6,14,6,320,1000,0.04215128334634663,10000,0.04218991117452963
8,6,14,6,460,1000,0.04201618114907542,10000,0.04218991117452963
8,6,14,6,640,1000,0.041972490464870345,10000,0.04218991117452963
8,6,14,6,910,1000,0.04192241161356844,10000,0.04218991117452963
8,6,14,6,1280,1000,0.04191057181264713,10000,0.04218991117452963
8,6,14,6,1820,1000,0.04190659438574969,10000,0.04218991117452963
8,6,14,6,2560,1000,0.041889313559491534,10000,0.04218991117452963
9,6,14,6,30,1000,0.08204883562023452,10000,0.020786519857418966
9,6,14,6,40,1000,0.030642351057169497,10000,0.020786519857418966
9,6,14,6,60,1000,0.02858815488937367,10000,0.020786519857418966
9,6,14,6,80,1000,0.02158872662061091,10000,0.020786519857418966
9,6,14,6,120,1000,0.023447474075831254,10000,0.020786519857418966
9,6,14,6,160,1000,0.023322747026894925,10000,0.020786519857418966
9,6,14,6,230,1000,0.021494292628281345,10000,0.020786519857418966
9,6,14,6,320,1000,0.020749202934640033,10000,0.020786519857418966
9,6,14,6,460,1000,0.02092559983839903,10000,0.020786519857418966
9,6,14,6,640,1000,0.020683439393754798,10000,0.020786519857418966
9,6,14,6,910,1000,0.020687708021571726,10000,0.020786519857418966
9,6,14,6,1280,1000,0.02065375082619931,10000,0.020786519857418966
9,6,14,6,1820,1000,0.020661369661820438,10000,0.020786519857418966
9,6,14,6,2560,1000,0.020644664236882628,10000,0.020786519857418966
10,6,14,6,30,1000,0.053620954758909316,10000,0.010064349944183695
10,6,14,6,40,1000,0.10003216838364885,10000,0.010064349944183695
10,6,14,6,60,1000,0.02565602416898424,10000,0.010064349944183695
10,6,14,6,80,1000,0.012006572974490407,10000,0.010064349944183695
10,6,14,6,120,1000,0.020004643592534822,10000,0.010064349944183695
10,6,14,6,160,1000,0.011208745335651396,10000,0.010064349944183695
10,6,14,6,230,1000,0.010739739249558445,10000,0.010064349944183695
10,6,14,6,320,1000,0.010445187938613905,10000,0.010064349944183695
10,6,14,6,460,1000,0.010342004992559412,10000,0.010064349944183695
10,6,14,6,640,1000,0.010078902901813446,10000,0.010064349944183695
10,6,14,6,910,1000,0.010021212536414132,10000,0.010064349944183695
10,6,14,6,1280,1000,0.010013609383969101,10000,0.010064349944183695
10,6,14,6,1820,1000,0.010033373664244652,10000,0.010064349944183695
10,6,14,6,2560,1000,0.009994535627883829,10000,0.010064349944183695
11,6,14,6,30,1000,0.047044600397746356,10000,0.004698176104847241
11,6,14,6,40,1000,0.03753829692462594,10000,0.004698176104847241
11,6,14,6,60,1000,0.04431746246391103,10000,0.004698176104847241
11,6,14,6,80,1000,0.010122037510383049,10000,0.004698176104847241
11,6,14,6,120,1000,0.009639424213143096,10000,0.004698176104847241
11,6,14,6,160,1000,0.006957849735076199,10000,0.004698176104847241
11,6,14,6,230,1000,0.006574149006397575,10000,0.004698176104847241
11,6,14,6,320,1000,0.005109671279649161,10000,0.004698176104847241
11,6,14,6,460,1000,0.005046081762185372,10000,0.004698176104847241
11,6,14,6,640,1000,0.004834663363623949,10000,0.004698176104847241
11,6,14,6,910,1000,0.004692778243019078,10000,0.004698176104847241
11,6,14,6,1280,1000,0.00473332020810739,10000,0.004698176104847241
11,6,14,6,1820,1000,0.004699063170666406,10000,0.004698176104847241
11,6,14,6,2560,1000,0.004667557501769007,10000,0.004698176104847241
12,6,14,6,30,1000,0.11086071761098458,10000,0.0020138206754471977
12,6,14,6,40,1000,0.03404335024895378,10000,0.0020138206754471977
12,6,14,6,60,1000,0.01740513872315572,10000,0.0020138206754471977
12,6,14,6,80,1000,0.007467052417219689,10000,0.0020138206754471977
12,6,14,6,120,1000,0.008975904002856692,10000,0.0020138206754471977
12,6,14,6,160,1000,0.0058813751607812515,10000,0.0020138206754471977
12,6,14,6,230,1000,0.006095139807090117,10000,0.0020138206754471977
12,6,14,6,320,1000,0.003274707757198774,10000,0.0020138206754471977
12,6,14,6,460,1000,0.0028727909201273737,10000,0.0020138206754471977
12,6,14,6,640,1000,0.0022878959743313407,10000,0.0020138206754471977
12,6,14,6,910,1000,0.0020537815163091536,10000,0.0020138206754471977
12,6,14,6,1280,1000,0.002070801327793407,10000,0.0020138206754471977
12,6,14,6,1820,1000,0.0020645651503278964,10000,0.0020138206754471977
12,6,14,6,2560,1000,0.0020208621196682566,10000,0.0020138206754471977
